"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2024","94.56","94.28","94.57","93.92","4.12M","0.11%"
"10/08/2024","94.46","94.51","94.89","94.08","3.77M","0.20%"
"10/07/2024","94.27","94.59","94.59","93.84","3.42M","-0.88%"
"10/04/2024","95.11","95.03","95.35","94.24","4.60M","-0.48%"
"10/03/2024","95.57","96.11","96.32","95.23","2.66M","-0.91%"
"10/02/2024","96.45","95.99","96.54","95.75","5.16M","-0.35%"
"10/01/2024","96.79","97.63","97.80","96.36","4.24M","-0.65%"
"09/30/2024","97.42","96.49","97.49","96.27","4.21M","0.79%"
"09/27/2024","96.66","97.34","97.57","96.62","4.93M","-0.71%"
"09/26/2024","97.35","98.41","98.47","97.08","4.78M","-0.91%"
"09/25/2024","98.24","99.00","99.22","98.02","2.47M","-0.67%"
"09/24/2024","98.90","98.37","99.18","98.04","3.28M","0.14%"
"09/23/2024","98.76","98.46","98.87","98.27","3.32M","0.99%"
"09/20/2024","97.79","97.62","98.06","97.44","3.71M","-0.40%"
"09/19/2024","98.18","99.01","99.05","97.54","4.45M","0.02%"
"09/18/2024","98.16","98.43","99.58","98.01","5.10M","-0.12%"
"09/17/2024","98.28","99.10","99.37","98.04","2.99M","-0.70%"
"09/16/2024","98.97","99.05","99.40","98.65","4.14M","0.33%"
"09/13/2024","98.64","98.25","98.66","98.01","3.40M","1.04%"
"09/12/2024","97.62","97.43","97.69","96.60","2.71M","0.42%"
"09/11/2024","97.21","96.52","97.32","95.42","3.87M","-0.20%"
"09/10/2024","97.40","96.29","97.43","96.03","6.00M","1.45%"
"09/09/2024","96.01","94.96","96.19","94.80","2.91M","1.12%"
"09/06/2024","94.95","95.19","95.21","94.19","6.97M","-0.09%"
"09/05/2024","95.04","95.98","96.14","94.87","6.27M","-0.33%"
"09/04/2024","95.35","95.32","96.23","94.85","3.04M","0.28%"
"09/03/2024","95.08","94.74","95.50","94.49","5.16M","-0.05%"
"08/30/2024","95.13","94.65","95.18","93.96","3.49M","0.97%"
"08/29/2024","94.22","94.46","94.62","93.84","3.38M","-0.31%"
"08/28/2024","94.51","94.86","95.11","94.06","2.66M","-0.39%"
"08/27/2024","94.88","94.04","94.95","93.96","1.86M","0.15%"
"08/26/2024","94.74","95.17","95.37","94.58","2.75M","-0.04%"
"08/23/2024","94.78","93.14","94.90","93.07","8.04M","2.20%"
"08/22/2024","92.74","92.52","92.82","92.22","3.18M","0.29%"
"08/21/2024","92.47","92.08","92.51","91.63","2.97M","0.53%"
"08/20/2024","91.98","92.19","92.34","91.66","4.93M","-0.12%"
"08/19/2024","92.09","91.33","92.09","91.32","2.63M","0.83%"
"08/16/2024","91.33","91.38","91.70","90.92","2.26M","-0.05%"
"08/15/2024","91.38","91.59","91.79","90.98","4.05M","-0.08%"
"08/14/2024","91.45","91.37","91.88","90.93","2.97M","0.26%"
"08/13/2024","91.21","91.06","91.31","90.55","3.11M","0.87%"
"08/12/2024","90.42","90.77","90.78","89.78","2.93M","-0.74%"
"08/09/2024","91.09","91.02","91.26","90.10","4.13M","0.46%"
"08/08/2024","90.67","89.80","90.85","89.52","5.98M","0.98%"
"08/07/2024","89.79","90.81","91.85","89.68","5.00M","-0.69%"
"08/06/2024","90.41","88.64","91.37","88.27","7.32M","1.97%"
"08/05/2024","88.66","89.48","91.02","88.42","6.85M","-2.86%"
"08/02/2024","91.27","91.10","92.13","90.45","5.22M","-0.05%"
"08/01/2024","91.32","91.46","91.82","90.46","6.99M","1.01%"
"07/31/2024","90.41","90.89","91.54","90.15","5.63M","-0.35%"
"07/30/2024","90.73","90.37","90.93","90.03","2.85M","0.78%"
"07/29/2024","90.03","89.71","90.33","88.92","3.37M","0.51%"
"07/26/2024","89.57","88.68","89.88","88.44","3.33M","1.75%"
"07/25/2024","88.03","88.65","89.68","87.84","4.72M","-0.33%"
"07/24/2024","88.32","89.59","90.17","88.23","3.84M","-1.47%"
"07/23/2024","89.64","89.57","90.26","89.17","2.66M","-0.08%"
"07/22/2024","89.71","89.05","89.80","88.41","3.24M","1.04%"
"07/19/2024","88.79","89.08","89.23","88.40","2.81M","-0.18%"
"07/18/2024","88.95","89.24","90.79","88.72","4.46M","-0.88%"
"07/17/2024","89.74","89.02","90.34","89.02","4.76M","0.68%"
"07/16/2024","89.13","88.61","89.16","88.15","3.03M","1.23%"
"07/15/2024","88.05","87.62","88.16","87.37","2.93M","0.67%"
"07/12/2024","87.46","87.50","88.02","87.14","3.56M","0.76%"
"07/11/2024","86.80","85.46","87.10","85.46","4.37M","2.87%"
"07/10/2024","84.38","84.10","84.45","83.57","2.48M","0.74%"
"07/09/2024","83.76","83.58","84.04","82.95","2.12M","-0.02%"
"07/08/2024","83.78","83.61","83.98","83.40","3.24M","0.32%"
"07/05/2024","83.51","83.44","83.67","82.98","3.22M","0.28%"
"07/03/2024","83.28","83.45","83.94","83.27","1.57M","-0.10%"
"07/02/2024","83.36","83.21","83.49","82.88","3.14M","0.47%"
"07/01/2024","82.97","83.69","83.90","82.46","3.27M","-0.94%"
"06/28/2024","83.76","83.49","84.12","83.13","4.09M","-0.44%"
"06/27/2024","84.13","83.45","84.16","83.26","4.24M","0.97%"
"06/26/2024","83.32","83.00","83.57","82.84","3.29M","-0.31%"
"06/25/2024","83.58","84.48","84.52","83.13","3.75M","-1.23%"
"06/24/2024","84.62","84.01","85.46","83.88","2.83M","0.77%"
"06/21/2024","83.97","83.92","84.14","83.40","2.34M","0.25%"
"06/20/2024","83.76","83.74","84.04","83.49","2.43M","-0.29%"
"06/18/2024","84.00","83.89","84.31","83.71","3.07M","0.39%"
"06/17/2024","83.67","83.51","84.09","83.15","2.17M","-0.39%"
"06/14/2024","84.00","83.73","84.24","83.32","2.18M","-0.02%"
"06/13/2024","84.02","83.87","84.29","83.38","2.62M","0.41%"
"06/12/2024","83.68","84.69","85.34","83.57","4.12M","0.89%"
"06/11/2024","82.94","82.85","83.33","82.61","3.26M","-0.36%"
"06/10/2024","83.24","82.70","83.51","82.10","2.45M","0.34%"
"06/07/2024","82.96","82.43","83.18","82.36","3.23M","-0.94%"
"06/06/2024","83.75","83.20","83.77","82.85","4.00M","0.19%"
"06/05/2024","83.59","83.74","83.86","83.09","2.37M","-0.12%"
"06/04/2024","83.69","82.81","84.04","82.81","2.72M","0.77%"
"06/03/2024","83.05","83.69","83.69","82.62","3.30M","-0.23%"
"05/31/2024","83.24","82.21","83.30","81.85","4.18M","1.87%"
"05/30/2024","81.71","80.93","81.75","80.93","2.75M","1.47%"
"05/29/2024","80.53","80.50","80.64","80.17","3.20M","-0.97%"
"05/28/2024","81.32","82.25","82.58","81.23","3.05M","-0.66%"
"05/24/2024","81.86","82.19","82.32","81.75","2.32M","0.07%"
"05/23/2024","81.80","83.60","83.60","81.75","4.06M","-2.15%"
"05/22/2024","83.60","84.07","84.41","83.35","3.89M","-0.90%"
"05/21/2024","84.36","84.19","84.50","84.01","2.66M","-0.04%"
"05/20/2024","84.39","84.72","84.97","84.29","2.84M","-0.59%"
"05/17/2024","84.89","85.00","85.10","84.58","2.79M","-0.01%"
"05/16/2024","84.90","85.04","85.28","84.76","2.58M","-0.07%"
"05/15/2024","84.96","85.03","85.42","84.76","3.54M","1.38%"
"05/14/2024","83.80","83.72","84.17","83.36","3.10M","0.77%"
"05/13/2024","83.16","83.20","83.65","82.76","2.85M","0.33%"
"05/10/2024","82.89","83.25","83.34","82.64","5.65M","-0.28%"
"05/09/2024","83.12","82.10","83.18","82.10","5.45M","2.05%"
"05/08/2024","81.45","81.69","81.69","81.18","4.13M","-0.84%"
"05/07/2024","82.14","82.01","82.40","81.78","3.67M","0.95%"
"05/06/2024","81.37","81.89","82.03","81.05","3.04M","0.09%"
