Date,Price,Open,High,Low,Vol.,Change %
8/9/2024,55.78,62.73,64.05,54.51,8.22M,-12.12%
8/8/2024,63.47,67.74,67.74,62.61,6.18M,-7.95%
8/7/2024,68.96,61.43,71.8,60.38,12.11M,-2.15%
8/6/2024,70.47,77.48,80.42,62,17.97M,-19.24%
8/5/2024,87.26,90.08,91.02,72.37,34.75M,39.22%
8/2/2024,62.68,54.46,64.45,53.82,34.05M,24.09%
8/1/2024,50.51,46.11,52.13,45.83,10.03M,9.21%
07/31/2024,46.25,46.12,46.54,44.62,6.75M,-2.36%
07/30/2024,47.37,45.76,49.14,45.65,7.64M,3.18%
07/29/2024,45.91,46.37,47.25,45.68,5.32M,-1.86%
07/26/2024,46.78,48.05,48.46,46.72,8.96M,-5.67%
07/25/2024,49.59,48.57,51.04,46.61,17.22M,0.81%
07/24/2024,49.19,44.7,49.67,44.67,15.19M,13.55%
07/23/2024,43.32,43.68,43.88,42.68,3.29M,-0.82%
07/22/2024,43.68,45.24,45.42,43.38,4.13M,-5.29%
07/19/2024,46.12,44.96,46.68,44.36,6.75M,4.25%
07/18/2024,44.24,42,44.89,41.76,5.88M,2.88%
07/17/2024,43.00,42.64,43.54,42.08,6.44M,3.27%
07/16/2024,41.64,41.16,41.64,40.96,2.38M,0.97%
07/15/2024,41.24,40.32,41.4,40.12,2.60M,1.48%
7/12/2024,40.64,40.7,40.72,39.98,2.99M,-1.74%
7/11/2024,41.36,40.64,41.86,40.58,4.57M,0.58%
7/10/2024,41.12,41.24,41.28,40.56,2.11M,-0.19%
7/9/2024,41.20,41.04,41.46,40.88,1.29M,0.29%
7/8/2024,41.08,41.36,41.4,40.84,1.72M,-1.82%
7/5/2024,41.84,41.52,42.16,41.46,1.74M,0.38%
7/3/2024,41.68,41.4,41.8,41.28,1.13M,0.48%
7/2/2024,41.48,42.2,42.24,41.36,1.27M,-1.14%
7/1/2024,41.96,43.24,43.44,41.96,2.35M,-3.94%
06/28/2024,43.68,43.16,43.8,42.88,2.02M,1.02%
06/27/2024,43.24,43.52,43.6,43.12,1.77M,-0.64%
06/26/2024,43.52,44.04,44.24,43.4,1.85M,-1.09%
06/25/2024,44.00,44.76,45.08,43.8,1.83M,-1.79%
06/24/2024,44.80,45.44,45.52,44.32,2.74M,-0.80%
06/21/2024,45.16,46.32,46.84,44.76,2.86M,-2.25%
06/20/2024,46.20,44.44,46.32,44.38,3.25M,3.77%
06/18/2024,44.52,44.16,44.96,44.02,2.06M,-0.54%
06/17/2024,44.76,44.92,45.48,44.16,3.70M,-0.18%
06/14/2024,44.84,44.6,45.76,44.24,3.80M,3.22%
06/13/2024,43.44,43.44,44.7,43.26,2.64M,-0.28%
6/12/2024,43.56,43.48,43.96,43.22,3.32M,-1.98%
6/11/2024,44.44,45,45.6,44.28,2.29M,0.09%
6/10/2024,44.40,45.16,45.4,44.28,1.98M,-0.27%
6/7/2024,44.52,44.92,45.1,44.12,3.28M,-1.07%
6/6/2024,45.00,45,45.48,44.76,2.21M,-0.53%
6/5/2024,45.24,45.48,46.48,45.04,2.41M,-1.82%
6/4/2024,46.08,46.6,47.38,45.84,4.04M,0.52%
6/3/2024,45.84,45.64,47.6,45.44,3.61M,-0.61%
05/31/2024,46.12,46.88,48.84,46,4.58M,-3.03%
05/30/2024,47.56,47.76,48.48,46.68,3.19M,-0.34%
05/29/2024,47.72,48,48.16,46.92,3.46M,3.83%
05/28/2024,45.96,44.84,46.76,44.76,3.94M,2.13%
05/24/2024,45.00,46.12,46.16,44.76,2.90M,-2.93%
05/23/2024,46.36,44.8,46.92,44.56,5.58M,1.40%
05/22/2024,45.72,44.92,46.2,44.48,4.48M,2.14%
05/21/2024,44.76,45.58,45.68,44.64,2.10M,-1.67%
05/20/2024,45.52,45.48,45.84,45,2.24M,0.18%
05/17/2024,45.44,46,46.2,45.36,2.32M,-1.30%
05/16/2024,46.04,46.08,46.54,45.92,2.73M,-0.09%
05/15/2024,46.08,47,47.44,46.08,2.22M,-3.92%
05/14/2024,47.96,48.76,49.08,47.76,1.73M,-1.64%
05/13/2024,48.76,48.16,49.04,48.04,2.42M,1.08%
5/10/2024,48.24,48.88,49.04,48.16,2.16M,-1.39%
5/9/2024,48.92,49.12,49.64,48.84,2.89M,-0.41%
5/8/2024,49.12,49.64,49.72,49.06,1.89M,-1.05%
5/7/2024,49.64,49.56,50.04,49.5,2.57M,0.00%
5/6/2024,49.64,50.36,50.44,49.64,2.14M,-2.97%
5/3/2024,51.16,51.08,52.12,50.88,3.77M,-3.40%
5/2/2024,52.96,53.6,55.08,52.72,2.40M,-3.29%
5/1/2024,54.76,55,55.44,52.32,4.85M,0.59%
04/30/2024,54.44,53,54.56,52.36,2.79M,3.11%
04/29/2024,52.80,53.16,53.96,52.44,2.19M,-1.71%
04/26/2024,53.72,53.96,54.44,53.44,2.95M,-3.24%
04/25/2024,55.52,57.36,58.2,55.18,5.53M,2.28%
04/24/2024,54.28,54.56,55.84,54.2,4.05M,-1.02%
04/23/2024,54.84,55.88,56.16,54.52,3.24M,-3.92%
04/22/2024,57.08,59.48,59.56,56.33,4.06M,-7.70%
04/19/2024,61.84,60.12,62.82,59.28,6.29M,3.27%
04/18/2024,59.88,58.92,61.08,58.24,4.78M,0.27%
04/17/2024,59.72,60,62.4,58.78,5.62M,-0.99%
04/16/2024,60.32,61.96,62.6,59.24,8.25M,-3.40%
04/15/2024,62.44,57.4,62.72,56.72,9.15M,5.54%
4/12/2024,59.16,56.8,61.94,56.8,12.63M,8.83%
4/11/2024,54.36,55.6,57.76,54.12,4.81M,-1.95%
4/10/2024,55.44,55.76,57.56,55.16,9.04M,1.91%
4/9/2024,54.40,54.56,56.84,54.12,5.62M,-0.73%
4/8/2024,54.80,56,56.48,54.36,4.33M,-3.93%
4/5/2024,57.04,56.72,57.72,55.12,8.18M,1.89%
4/4/2024,55.98,52.64,57.64,52.12,9.01M,4.75%
4/3/2024,53.44,54.64,54.92,52.88,3.78M,-0.67%
4/2/2024,53.80,54.36,55.8,53.8,5.41M,2.36%
4/1/2024,52.56,51.96,53.32,51.7,2.87M,1.31%
03/28/2024,51.88,51.2,52.04,50.92,2.70M,1.57%
03/27/2024,51.08,51.36,52.28,51.04,2.45M,-1.84%
03/26/2024,52.04,51.76,52.04,51.16,2.63M,-0.54%
03/25/2024,52.32,52.56,52.6,51.7,1.65M,-0.38%
03/22/2024,52.52,52.52,52.8,51.68,2.36M,0.46%
03/21/2024,52.28,52.04,53,51.8,3.16M,-0.91%
03/20/2024,52.76,54,54.2,52.5,4.37M,-2.08%
03/19/2024,53.88,55.56,55.84,53.84,2.94M,-2.81%
03/18/2024,55.44,55.88,55.94,54.96,3.05M,-2.33%
03/15/2024,56.76,56.49,58.84,55.9,5.61M,2.01%
03/14/2024,55.64,53.88,57.8,53.56,7.35M,2.58%
03/13/2024,54.24,54.28,54.76,53.92,1.88M,-0.51%
3/12/2024,54.52,55.92,56.68,54.34,3.71M,-4.88%
3/11/2024,57.32,58.44,59.45,56.78,2.85M,-1.04%
3/8/2024,57.92,55.64,59.84,55.28,5.09M,2.62%
3/7/2024,56.44,55.52,57.16,55.44,2.59M,-0.49%
3/6/2024,56.72,55.2,57.2,54.88,3.62M,0.35%
3/5/2024,56.52,54.8,58.18,54.72,5.45M,4.13%
3/4/2024,54.28,54.16,54.6,53.96,1.41M,-0.22%
3/1/2024,54.40,53.72,54.72,53.4,2.65M,0.29%
02/29/2024,54.24,54,55.48,53.96,2.81M,-1.38%
02/28/2024,55.00,54.48,55.44,54.36,1.86M,1.63%
02/27/2024,54.12,54.48,54.76,54.02,1.82M,-1.89%
02/26/2024,55.16,55.24,55.44,54.86,1.72M,-1.01%
02/23/2024,55.72,56.88,57.28,55.64,2.61M,-3.67%
02/22/2024,57.84,56.72,57.96,55.96,3.07M,-1.90%
02/21/2024,58.96,59.79,60.36,58.8,3.78M,-0.87%
02/20/2024,59.48,58.48,60.96,58.2,4.76M,3.26%
02/16/2024,57.60,58.04,58.5,56.48,3.16M,-0.14%
02/15/2024,57.68,57.6,58.86,57.22,3.15M,-1.03%
02/14/2024,58.28,59,60.24,57.84,5.57M,-4.96%
02/13/2024,61.32,59.16,65.24,58.64,7.68M,7.05%
2/12/2024,57.28,55.72,57.86,55.56,3.09M,2.14%
2/9/2024,56.08,55.44,56.28,55,1.98M,0.72%
2/8/2024,55.68,55.84,56.68,55.48,1.80M,-0.57%
2/7/2024,56.00,55.68,56.48,55.6,2.28M,-0.36%
2/6/2024,56.20,57.08,57.76,56.12,2.10M,-2.43%
2/5/2024,57.60,59.44,60.68,57.44,2.80M,-3.94%
2/2/2024,59.96,59.76,60.44,58.86,2.49M,-0.13%
2/1/2024,60.04,59.8,61.16,58.8,2.88M,-0.79%
01/31/2024,60.52,57.72,61,57.56,5.03M,5.07%
01/30/2024,57.60,58.16,58.28,57.44,1.85M,-1.30%
01/29/2024,58.36,58.16,59.22,57.96,2.12M,0.41%
01/26/2024,58.12,58.44,58.76,57.36,2.11M,-0.55%
01/25/2024,58.44,57.68,58.68,57.36,2.13M,1.11%
01/24/2024,57.80,55.88,57.84,55.72,2.86M,2.63%
01/23/2024,56.32,57.24,57.4,56.28,1.94M,-2.90%
01/22/2024,58.00,59.24,59.68,57.8,2.47M,-3.33%
01/19/2024,60.00,60.32,60.73,59.52,2.72M,-2.53%
01/18/2024,61.56,62.16,63.6,61.28,2.63M,-3.45%
01/17/2024,63.76,63.28,65.2,62.2,3.77M,3.78%
01/16/2024,61.44,60.8,62.68,60.04,3.30M,3.50%
1/12/2024,59.36,58.2,59.6,58.13,2.46M,1.64%
1/11/2024,58.40,57.88,60.56,57.72,3.16M,-0.54%
1/10/2024,58.72,58.96,59.2,58.4,2.05M,-1.08%
1/9/2024,59.36,61.32,61.44,59.2,1.74M,-2.30%
1/8/2024,60.76,62.16,62.44,60,2.25M,-2.32%
1/5/2024,62.20,63.72,63.8,61.6,3.27M,-3.30%
1/4/2024,64.32,64.48,64.68,63.08,1.84M,-0.12%
1/3/2024,64.40,63.26,65.4,62.32,3.91M,3.74%
1/2/2024,62.08,63.8,64.84,61.72,2.97M,0.00%
12/29/2023,62.08,61.96,63.6,61.52,2.55M,0.26%
12/28/2023,61.92,61.84,62.8,61.64,1.55M,-0.26%
12/27/2023,62.08,64.24,64.24,62,1.86M,-4.32%
12/26/2023,64.88,66.28,66.72,64.64,1.09M,-2.35%
12/22/2023,66.44,67.88,69.32,66.44,2.25M,-2.64%
12/21/2023,68.24,68.73,70.3,67.52,2.90M,-2.07%
12/20/2023,69.68,65.4,70.52,65,4.58M,6.09%
12/19/2023,65.68,65.2,65.84,64.8,1.36M,1.48%
12/18/2023,64.72,64.48,64.96,64.28,1.50M,0.25%
12/15/2023,64.56,62.84,64.8,62.44,2.74M,3.33%
12/14/2023,62.48,62.08,64.36,62.08,3.84M,-0.57%
12/13/2023,62.84,63.2,64.2,62.45,3.04M,-1.19%
12/12/2023,63.60,64.56,64.96,63.18,2.39M,-2.87%
12/11/2023,65.48,66.76,66.96,65.34,1.88M,-2.27%
12/8/2023,67.00,68.4,68.48,66.88,1.76M,-2.90%
12/7/2023,69.00,68.64,69.38,68.48,1.18M,0.06%
12/6/2023,68.96,67.92,69.4,67.52,1.59M,0.47%
12/5/2023,68.64,69.4,69.56,68.52,1.49M,-0.69%
12/4/2023,69.12,70.08,71.28,69,1.88M,0.29%
12/1/2023,68.92,68.8,69.16,68,2.26M,-0.35%
11/30/2023,69.16,69.84,70.76,69,1.76M,-1.54%
11/29/2023,70.24,68.56,70.56,68.48,1.96M,1.44%
11/28/2023,69.24,69.8,70.48,68.8,1.72M,-1.31%
11/27/2023,70.16,70.32,70.36,69.72,1.39M,0.69%
11/24/2023,69.68,72.04,72.56,69.36,1.17M,-4.29%
11/22/2023,72.80,71.32,73.52,71.08,1.74M,0.78%
11/21/2023,72.24,73.96,74.04,71.96,2.20M,-1.95%
11/20/2023,73.68,73.8,73.96,72.9,1.46M,-0.75%
11/17/2023,74.24,75.04,75.72,74,1.64M,-1.54%
11/16/2023,75.40,76.48,76.96,75.28,2.33M,-1.57%
11/15/2023,76.60,77,77.56,76.29,2.27M,-2.10%
11/14/2023,78.24,76.04,78.42,75.83,2.39M,-0.76%
11/13/2023,78.84,80.28,80.72,78.04,1.66M,-1.10%
11/10/2023,79.72,81.6,81.76,78.98,2.66M,-4.04%
11/9/2023,83.08,79.12,83.88,78.94,2.76M,3.85%
11/8/2023,80.00,80.56,82.48,79.64,2.08M,-1.86%
11/7/2023,81.52,81.76,82.6,80.96,1.34M,-0.49%
11/6/2023,81.92,83.68,84.34,81.8,2.27M,-3.31%
11/3/2023,84.72,85.3,85.88,84.16,2.67M,-2.35%
11/2/2023,86.76,87.8,89.28,86.68,2.52M,-3.43%
11/1/2023,89.84,93.12,93.12,89.36,3.45M,-4.22%
10/31/2023,93.80,99.84,100.68,93.68,2.73M,-6.42%
10/30/2023,100.24,104.16,104.4,100.08,2.15M,-7.46%
10/27/2023,108.32,102.84,108.88,101.44,3.63M,3.32%
10/26/2023,104.84,104.16,107.92,102.32,3.72M,0.89%
10/25/2023,103.92,98.04,106.28,98.04,3.78M,6.52%
10/24/2023,97.56,99.68,102.24,97.18,2.75M,-4.54%
10/23/2023,102.20,107.76,109.42,98.76,2.95M,-3.44%
10/20/2023,105.84,105.32,107.72,102.76,4.05M,0.61%
10/19/2023,105.20,98.68,105.59,97.2,5.09M,4.95%
10/18/2023,100.24,96.36,101.48,95.64,3.70M,6.41%
10/17/2023,94.20,95.04,96.08,90.2,3.28M,2.79%
