"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2024","87.33","88.13","88.28","87.26","31.92M","-0.54%"
"12/30/2024","87.80","87.83","88.04","87.67","48.52M","0.80%"
"12/27/2024","87.10","87.48","87.78","87.06","27.26M","-0.82%"
"12/26/2024","87.82","87.21","87.96","87.20","20.00M","-0.06%"
"12/24/2024","87.87","87.04","87.89","86.98","22.38M","0.42%"
"12/23/2024","87.50","88.16","88.23","87.44","32.76M","-0.92%"
"12/20/2024","88.31","88.53","88.91","88.29","45.54M","0.57%"
"12/19/2024","87.81","88.07","88.39","87.50","99.08M","-1.51%"
"12/18/2024","89.16","89.97","90.37","89.14","61.33M","-1.63%"
"12/17/2024","90.64","90.52","90.99","90.46","23.84M","0.24%"
"12/16/2024","90.42","90.55","90.62","90.05","23.48M","0.30%"
"12/13/2024","90.15","90.80","90.85","90.08","39.49M","-1.02%"
"12/12/2024","91.08","91.64","91.75","91.00","45.37M","-1.21%"
"12/11/2024","92.20","93.07","93.29","92.11","38.75M","-0.95%"
"12/10/2024","93.08","93.02","93.30","92.90","28.71M","-0.47%"
"12/09/2024","93.52","93.99","94.04","93.46","30.51M","-0.92%"
"12/06/2024","94.39","94.72","94.85","94.02","31.76M","0.15%"
"12/05/2024","94.25","93.72","94.39","93.65","23.70M","0.20%"
"12/04/2024","94.06","92.61","94.19","92.54","35.85M","1.07%"
"12/03/2024","93.06","93.93","94.03","92.99","32.77M","-0.86%"
"12/02/2024","93.87","93.27","94.15","93.00","39.41M","-0.11%"
"11/29/2024","93.97","93.78","93.99","93.44","31.91M","1.03%"
"11/27/2024","93.01","93.04","93.38","92.67","39.44M","0.69%"
"11/26/2024","92.37","92.16","92.44","91.81","31.12M","-0.39%"
"11/25/2024","92.73","92.20","92.78","91.99","56.86M","2.59%"
"11/22/2024","90.39","90.51","90.70","90.15","21.55M","0.06%"
"11/21/2024","90.34","90.45","90.85","90.00","28.37M","-0.08%"
"11/20/2024","90.41","90.15","90.83","90.11","27.76M","-0.32%"
